17.0564	53.9759
17.1411	53.494
17.2492	54.4578
17.3715	56.0643
17.5078	58.4739
17.6583	60.8835
17.7712	62.8112
17.8511	63.1325
17.9781	63.1325
18.0345	63.2932
18.0862	62.9719
18.1991	62.1687
18.2743	61.0442
18.3636	58.9558
18.4483	57.1888
18.5329	55.9036
18.6082	55.4217
18.7069	54.4578
18.7727	53.494
18.848	51.5663
18.9373	49.7992
19.0172	48.3534
19.0925	46.747
19.163	45.4618
19.21	44.8193
19.2759	43.5341
19.3182	42.4096
19.384	40.3213
19.4545	37.2691
19.5157	34.6988
19.5768	31.9679
19.6567	29.0763
19.7414	26.3454
19.8166	24.257
19.8966	22.3293
19.9859	21.2048
