6
6729.309  3.190e-8  1784.683 3012.322  2.131e-8 2.278e-8
14499.861 3.350e-8  4716.204 6328.336  1.043e-8 9.436e-9
31024.793 4.457e-8  9723.502 14886.672 8.177e-9 9.509e-9
66227.438 1.954e-8  20900.832  32579.219 5.301e-9 6.889e-9
1.438e5 2.009e-8  45479.695  68775.188 4.990e-9 6.443e-9
3.122e5 0.000  1.005e5  1.466e5 0.000 1.763e-9
6.749e5 5.482e-10  2.230e5  3.101e5 5.482e-10 4.772e-9
1.454e6 1.101e-8  4.784e5  6.494e5 5.574e-9 7.426e-9
3.140e6 0.000  1.006e6  1.473e6 0.000 4.930e-9
6.669e6 0.000  2.145e6  3.140e6 0.000 1.446e-9
1.464e7 0.000  4.775e6  6.827e6 0.000 7.726e-9
3.094e7 0.000  9.755e6  1.520e7 0.000 1.369e-8
6.708e7 0.000  2.151e7  3.158e7 0.000 2.666e-8
