#      lambda(um)  nuLnu(Lsun)
       53.703180   4.9617339e+10
       54.325033   4.9844513e+10
       54.954087   5.0028430e+10
       55.590426   5.0242296e+10
       56.234133   5.0446918e+10
       56.885293   5.0627127e+10
       57.543994   5.0795859e+10
       58.210322   5.0966763e+10
       58.884366   5.1152417e+10
       59.566214   5.1285958e+10
       60.255959   5.1437075e+10
       60.953690   5.1577771e+10
       61.659500   5.1695289e+10
       62.373484   5.1821707e+10
       63.095734   5.1932607e+10
       63.826349   5.2056307e+10
       64.565423   5.2154049e+10
       65.313055   5.2234488e+10
       66.069345   5.2319287e+10
       66.834392   5.2371181e+10
       67.608298   5.2447332e+10
       68.391165   5.2506542e+10
       69.183097   5.2542885e+10
       69.984200   5.2589363e+10
       70.794578   5.2608371e+10
       71.614341   5.2621258e+10
       72.443596   5.2627516e+10
       73.282453   5.2620285e+10
       74.131024   5.2613318e+10
       74.989421   5.2598693e+10
       75.857758   5.2545485e+10
       76.736149   5.2510664e+10
       77.624712   5.2453644e+10
       78.523563   5.2382685e+10
       79.432823   5.2294668e+10
       80.352612   5.2204572e+10
       81.283052   5.2096149e+10
       82.224265   5.1985208e+10
       83.176377   5.1861937e+10
       84.139514   5.1725787e+10
       85.113804   5.1585790e+10
       86.099375   5.1431948e+10
       87.096359   5.1251173e+10
       88.104887   5.1055704e+10
       89.125094   5.0882151e+10
       90.157114   5.0670100e+10
       91.201084   5.0446762e+10
       92.257143   5.0215013e+10
       93.325430   4.9970345e+10
       94.406088   4.9714737e+10
       95.499259   4.9447666e+10
       96.605088   4.9152116e+10
       97.723722   4.8863845e+10
       98.855309   4.8571517e+10
       100.00000   4.8249044e+10
       101.15795   4.7920120e+10
       102.32930   4.7554811e+10
       103.51422   4.7203256e+10
       104.71285   4.6850699e+10
       105.92537   4.6481682e+10
       107.15193   4.6134980e+10
       108.39269   4.5744729e+10
       109.64782   4.5335972e+10
       110.91748   4.4955635e+10
       112.20185   4.4554826e+10
       113.50108   4.4159538e+10
       114.81536   4.3745177e+10
       116.14486   4.3326760e+10
       117.48976   4.2926865e+10
       118.85022   4.2521382e+10
       120.22644   4.2090660e+10
       121.61860   4.1669386e+10
       123.02688   4.1252646e+10
       124.45146   4.0842855e+10
       125.89254   4.0423321e+10
       127.35031   4.0003890e+10
       128.82496   3.9566986e+10
       130.31668   3.9140039e+10
       131.82567   3.8700022e+10
       133.35214   3.8256915e+10
       134.89629   3.7782030e+10
       136.45831   3.7292959e+10
       138.03843   3.6778582e+10
       139.63684   3.6238144e+10
       141.25375   3.5695846e+10
       142.88940   3.5106212e+10
       144.54398   3.4490490e+10
       146.21772   3.3866197e+10
       147.91084   3.3220791e+10
       149.62357   3.2562600e+10
       151.35612   3.1901597e+10
       153.10875   3.1223244e+10
       154.88166   3.0549133e+10
       156.67511   2.9882438e+10
       158.48932   2.9211100e+10
       160.32454   2.8539479e+10
       162.18101   2.7888115e+10
       164.05898   2.7247654e+10
       165.95869   2.6604348e+10
       167.88040   2.5974410e+10
       169.82437   2.5347421e+10
       171.79084   2.4741390e+10
       173.78008   2.4142194e+10
       175.79236   2.3551840e+10
       177.82794   2.2967625e+10
       179.88709   2.2400459e+10
       181.97009   2.1841693e+10
       184.07720   2.1290641e+10
       186.20871   2.0745398e+10
       188.36491   2.0219434e+10
       190.54607   1.9691862e+10
       192.75249   1.9183321e+10
       194.98446   1.8678216e+10
       197.24227   1.8180233e+10
       199.52623   1.7695294e+10
       201.83664   1.7219856e+10
       204.17379   1.6753824e+10
       206.53802   1.6294146e+10
       208.92961   1.5843466e+10
       211.34890   1.5402738e+10
       213.79621   1.4972629e+10
       216.27185   1.4551668e+10
       218.77616   1.4135284e+10
       221.30947   1.3729254e+10
       223.87211   1.3332349e+10
       226.46443   1.2943261e+10
       229.08677   1.2562698e+10
       231.73946   1.2188547e+10
       234.42288   1.1826058e+10
       237.13737   1.1470612e+10
       239.88329   1.1123699e+10
       242.66101   1.0786179e+10
       245.47089   1.0454281e+10
       248.31331   1.0129739e+10
       251.18864   9.8141823e+09
       254.09727   9.5056790e+09
       257.03958   9.2046107e+09
       260.01596   8.9115361e+09
       263.02680   8.6271074e+09
       266.07251   8.3495940e+09
       269.15348   8.0792472e+09
       272.27013   7.8151365e+09
       275.42287   7.5568623e+09
       278.61212   7.3077997e+09
       281.83829   7.0639014e+09
       285.10183   6.8276196e+09
       288.40315   6.5978823e+09
       291.74270   6.3744087e+09
       295.12092   6.1574009e+09
       298.53826   5.9455581e+09
       301.99517   5.7414268e+09
       305.49211   5.5423138e+09
       309.02954   5.3487396e+09
       312.60794   5.1620883e+09
       316.22777   4.9798770e+09
       319.88951   4.8036138e+09
       323.59366   4.6324205e+09
       327.34069   4.4664788e+09
       331.13112   4.3060999e+09
       334.96544   4.1500270e+09
       338.84416   3.9990022e+09
       342.76779   3.8535649e+09
       346.73685   3.7115671e+09
       350.75187   3.5748664e+09
       354.81339   3.4420931e+09
       358.92193   3.3140080e+09
       363.07805   3.1896353e+09
       367.28230   3.0695309e+09
       371.53523   2.9532317e+09
       375.83740   2.8410985e+09
       380.18940   2.7328409e+09
       384.59178   2.6278270e+09
       389.04514   2.5266109e+09
       393.55008   2.4291304e+09
       398.10717   2.3346164e+09
       402.71703   2.2432664e+09
       407.38028   2.1556293e+09
       412.09752   2.0706208e+09
       416.86938   1.9890168e+09
       421.69650   1.9100921e+09
       426.57952   1.8341372e+09
       431.51908   1.7607975e+09
       436.51583   1.6901702e+09
       441.57045   1.6220852e+09
       446.68359   1.5564339e+09
       451.85594   1.4934342e+09
       457.08819   1.4325872e+09
       462.38102   1.3738896e+09
       467.73514   1.3175437e+09
       473.15126   1.2633404e+09
       478.63009   1.2110083e+09
       484.17237   1.1607640e+09
       489.77882   1.1124982e+09
       495.45019   1.0660449e+09
       501.18723   1.0212764e+09
       506.99071   9.7822684e+08
       512.86138   9.3691160e+08
       518.80004   8.9718454e+08
       524.80746   8.5899764e+08
       530.88444   8.2241372e+08
       537.03180   7.8720089e+08
       543.25033   7.5338720e+08
       549.54087   7.2083373e+08
       555.90426   6.8973253e+08
       562.34133   6.5981959e+08
       568.85293   6.3115660e+08
       575.43994   6.0357699e+08
       582.10322   5.7716523e+08
       588.84366   5.5181715e+08
       595.66214   5.2758244e+08
       602.55959   5.0428952e+08
       609.53690   4.8194928e+08
       616.59500   4.6055726e+08
       623.73484   4.4001830e+08
       630.95734   4.2042165e+08
       638.26349   4.0157487e+08
       645.65423   3.8354336e+08
       653.13055   3.6626275e+08
       660.69345   3.4973590e+08
       668.34392   3.3387685e+08
       676.08298   3.1875764e+08
       683.91165   3.0425559e+08
       691.83097   2.9037372e+08
       699.84200   2.7711956e+08
       707.94578   2.6441343e+08
       716.14341   2.5226657e+08
       724.43596   2.4066425e+08
       732.82453   2.2955893e+08
       741.31024   2.1893521e+08
       749.89421   2.0877345e+08
       758.57758   1.9909380e+08
       767.36149   1.8982389e+08
       776.24712   1.8093877e+08
       785.23563   1.7248627e+08
       794.32823   1.6439801e+08
       803.52612   1.5666511e+08
       812.83052   1.4929356e+08
       822.24265   1.4224213e+08
       831.76377   1.3552229e+08
       841.39514   1.2910276e+08
       851.13804   1.2296987e+08
       860.99375   1.1711871e+08
       870.96359   1.1153899e+08
       881.04887   1.0621141e+08
       891.25094   1.0113014e+08
       901.57114       96290292.
       912.01084       91655140.
       922.57143       87250979.
       933.25430       83043489.
       944.06088       79032515.
       954.99259       75207180.
       966.05088       71564539.
       977.23722       68086263.
       988.55309       64776288.
       1000.0000       61621949.
